Entity,Year,Outdoor air pollution,High systolic blood pressure,Diet low in whole grains ,Alcohol use, Diet low in fruits ,Secondhand smoke,Unsafe sex ,Diet low in nuts and seeds, Smoking,High fasting plasma glucose,Air pollution - Sex,High body-mass index,No access to handwashing facility,Drug use , Low bone mineral density ,Vitamin A deficiency , Child stunting - Sex: Both - Age: All Ages (Number), Discontinued breastfeeding,Non-exclusive breastfeeding
North Korea,2017,23264,48742,6168,9594,6134,9578,1917,4022,43133,20941,54252,8135,171,2108,1606,7,93,5,75
North Korea,2018,24107,49534,6300,9703,6218,9716,1944,4125,43490,21500,54672,8261,170,2152,1633,6,82,4,67
North Korea,2019,25442,50377,6431,9793,6297,9859,1963,4229,43764,22087,55154,8400,169,2191,1662,6,73,4,61
North Macedonia,1990,1984,5843,948,975,334,613,70,172,3635,2144,3036,2576,9,49,34,7,22,9,89
North Macedonia,1991,1996,5845,957,971,339,609,70,172,3699,2248,3036,2610,8,50,33,6,19,9,81
North Macedonia,1992,2146,6193,1028,1031,366,645,75,183,4011,2493,3233,2799,8,54,35,6,18,8,77
North Macedonia,1993,2212,6320,1062,1076,380,654,79,187,4178,2666,3301,2896,7,57,61,6,14,7,63
North Macedonia,1994,2254,6360,1080,1035,387,662,83,186,4260,2816,3335,2952,6,59,36,5,13,6,57
North Macedonia,1995,2320,6494,1114,1042,399,674,88,188,4393,3004,3402,3039,5,62,37,4,10,5,46
North Macedonia,1996,2381,6613,1145,1034,409,686,96,188,4511,3200,3455,3139,4,64,38,3,7,4,33
North Macedonia,1997,2448,6725,1169,1013,416,701,104,184,4598,3403,3510,3254,4,67,40,2,6,3,26
North Macedonia,1998,2529,6860,1202,1006,423,722,110,180,4725,3613,3581,3384,4,72,42,2,5,3,24
North Macedonia,1999,2550,6875,1208,983,419,723,110,172,4763,3759,3562,3435,3,75,44,1,4,2,17
North Macedonia,2000,2571,6958,1217,951,417,729,111,165,4780,3924,3552,3498,3,77,46,1,3,1,13
North Macedonia,2001,2633,7151,1249,954,423,748,109,164,4897,4144,3596,3610,3,80,51,1,3,1,10
North Macedonia,2002,2726,7398,1291,957,431,776,108,162,5081,4430,3667,3758,2,85,54,1,2,1,8
North Macedonia,2003,2734,7439,1286,911,424,785,108,154,5079,4601,3628,3815,2,86,57,0,2,1,8
North Macedonia,2004,2689,7384,1265,851,411,783,106,145,5003,4689,3529,3810,2,85,62,0,2,0,6
North Macedonia,2005,2725,7526,1280,838,411,798,105,141,5087,4859,3542,3910,2,86,67,0,1,0,4
North Macedonia,2006,2795,7716,1303,853,416,821,103,138,5217,5034,3603,4043,2,91,72,0,1,0,4
North Macedonia,2007,2869,7896,1321,845,419,841,105,134,5276,5221,3661,4160,2,96,75,0,1,0,4
North Macedonia,2008,2813,7725,1282,814,404,824,102,126,5129,5172,3557,4084,2,98,75,0,1,0,3
North Macedonia,2009,2834,7752,1286,829,401,830,98,124,5174,5231,3550,4117,2,100,79,0,1,0,3
North Macedonia,2010,2816,7744,1281,821,396,829,97,122,5153,5263,3508,4132,2,101,77,0,1,0,3
North Macedonia,2011,2770,7683,1268,810,390,822,95,121,5071,5248,3433,4111,2,101,77,0,1,0,3
North Macedonia,2012,2792,7805,1285,818,393,836,99,123,5104,5366,3444,4214,2,102,77,0,1,0,3
North Macedonia,2013,2719,7680,1266,837,384,820,95,123,5015,5297,3335,4170,2,105,76,0,1,0,3
North Macedonia,2014,2758,7856,1300,865,390,837,96,127,5100,5438,3362,4289,2,108,78,0,1,0,3
North Macedonia,2015,2795,8071,1333,884,396,856,99,131,5171,5602,3393,4428,2,112,82,0,1,0,3
North Macedonia,2016,2797,8142,1348,914,397,861,98,134,5209,5635,3376,4486,2,116,81,0,1,0,3
North Macedonia,2017,2795,8241,1367,934,398,866,98,137,5240,5682,3357,4554,2,119,81,0,1,0,3
North Macedonia,2018,2779,8309,1383,948,398,875,98,140,5263,5748,3324,4607,2,120,81,0,1,0,2
North Macedonia,2019,2771,8394,1401,972,398,890,98,142,5307,5861,3301,4676,2,122,84,0,1,0,2
Northern Ireland,1990,828,4073,907,316,413,423,69,573,4093,1086,831,1500,15,45,70,0,0,0,1
Northern Ireland,1991,800,4031,882,324,404,406,69,562,3993,1082,803,1486,15,47,68,0,0,0,1
Northern Ireland,1992,770,3982,858,329,393,390,66,551,3907,1081,772,1466,15,48,64,0,0,0,1
Northern Ireland,1993,772,4090,869,351,398,392,67,560,3959,1128,775,1509,15,52,66,0,0,0,1
Northern Ireland,1994,740,4007,838,362,386,374,66,544,3833,1128,742,1484,15,55,65,0,0,0,1
Northern Ireland,1995,730,4033,833,376,384,370,65,543,3825,1163,733,1498,16,59,67,0,0,0,1
Northern Ireland,1996,694,3898,795,386,370,353,61,519,3717,1166,696,1458,16,60,67,0,0,0,1
Northern Ireland,1997,668,3841,777,409,363,342,56,502,3664,1198,669,1454,16,62,68,0,0,0,1
Northern Ireland,1998,647,3796,761,437,358,332,53,486,3612,1236,648,1450,16,67,71,0,0,0,1
Northern Ireland,1999,638,3782,751,469,355,327,53,474,3605,1292,638,1464,16,72,75,0,0,0,1
Northern Ireland,2000,599,3611,711,486,340,305,51,443,3460,1292,600,1419,15,74,78,0,0,0,1
Northern Ireland,2001,562,3422,669,496,325,280,51,413,3291,1292,562,1374,13,77,81,0,0,0,1
Northern Ireland,2002,557,3362,659,529,322,273,51,400,3288,1340,557,1393,12,82,86,0,0,0,1
Northern Ireland,2003,541,3204,632,542,310,260,52,379,3214,1351,541,1371,12,84,88,0,0,0,1
Northern Ireland,2004,527,3070,613,571,303,252,50,362,3174,1364,526,1365,11,89,92,0,0,0,1
Northern Ireland,2005,506,2926,591,590,293,244,49,345,3091,1360,506,1344,11,95,95,0,0,0,1
Northern Ireland,2006,494,2843,581,613,291,244,50,335,3065,1375,494,1343,11,101,100,0,0,0,1
Northern Ireland,2007,481,2753,572,626,288,245,51,326,3036,1390,481,1340,11,108,103,0,0,0,1
Northern Ireland,2008,459,2636,556,627,282,243,51,315,2979,1389,458,1324,11,112,106,0,0,0,1
Northern Ireland,2009,431,2517,538,624,276,241,51,302,2906,1376,431,1307,10,115,108,0,0,0,1
Northern Ireland,2010,416,2468,530,627,275,242,52,294,2877,1385,415,1314,10,119,111,0,0,0,1
Northern Ireland,2011,395,2411,514,617,269,238,50,285,2790,1381,394,1295,11,119,112,0,0,0,0
Northern Ireland,2012,390,2439,519,622,272,243,50,288,2797,1429,389,1323,11,123,117,0,0,0,0
Northern Ireland,2013,374,2415,513,626,271,244,50,284,2784,1446,374,1332,11,126,119,0,0,0,0
Northern Ireland,2014,350,2355,500,624,267,241,50,276,2749,1443,349,1329,11,130,119,0,0,0,0
Northern Ireland,2015,336,2382,506,642,271,247,51,279,2803,1484,337,1360,11,136,123,0,0,0,0
Northern Ireland,2016,317,2403,508,646,274,249,51,279,2840,1515,317,1381,11,138,127,0,0,0,0
Northern Ireland,2017,308,2492,528,644,282,257,52,291,2911,1586,308,1423,12,138,128,0,0,0,0
Northern Ireland,2018,323,2627,557,663,294,270,53,306,3062,1698,323,1491,12,141,132,0,0,0,0
Northern Ireland,2019,329,2715,573,671,301,278,53,314,3151,1785,329,1534,12,142,135,0,0,0,0
Northern Mariana Islands,1990,6,27,5,7,3,5,2,0,28,21,11,33,0,3,1,0,0,0,0
Northern Mariana Islands,1991,6,28,5,7,3,5,2,0,29,22,11,35,0,3,1,0,0,0,0
Northern Mariana Islands,1992,6,29,5,7,3,5,2,0,29,23,11,35,0,3,1,0,0,0,0
Northern Mariana Islands,1993,6,29,5,7,3,5,2,0,28,23,10,35,0,3,1,0,0,0,0
Northern Mariana Islands,1994,6,30,5,7,3,5,3,0,28,23,10,35,0,3,1,0,0,0,0
Northern Mariana Islands,1995,7,31,5,7,3,6,3,0,28,24,10,36,0,3,1,0,0,0,0
Northern Mariana Islands,1996,7,33,6,8,3,6,3,0,29,26,10,38,0,3,1,0,0,0,0
Northern Mariana Islands,1997,7,35,6,9,4,6,3,0,31,28,10,41,0,3,1,0,0,0,0
Northern Mariana Islands,1998,7,38,7,10,4,7,3,0,33,31,10,44,0,3,1,0,0,0,0
Northern Mariana Islands,1999,8,42,7,11,4,7,4,0,35,33,11,48,0,3,1,0,0,0,0
Northern Mariana Islands,2000,8,44,8,11,5,8,4,0,38,36,11,51,0,4,1,0,0,0,0
Northern Mariana Islands,2001,8,46,8,11,5,8,4,0,39,39,11,54,0,4,1,0,0,0,0
Northern Mariana Islands,2002,8,47,9,11,5,8,4,0,40,41,11,56,0,3,1,0,0,0,0
Northern Mariana Islands,2003,8,47,9,10,5,8,4,0,40,43,11,56,0,3,1,0,0,0,0
Northern Mariana Islands,2004,8,47,9,10,5,9,4,0,40,45,11,57,0,3,1,0,0,0,0
Northern Mariana Islands,2005,8,49,10,9,5,9,4,0,41,48,11,60,0,3,1,0,0,0,0
Northern Mariana Islands,2006,8,52,10,9,5,9,4,0,43,50,11,62,0,3,1,0,0,0,0
Northern Mariana Islands,2007,8,54,11,9,5,9,4,0,45,53,12,64,0,3,1,0,0,0,0
Northern Mariana Islands,2008,8,57,11,9,5,10,4,0,46,55,12,66,0,3,1,0,0,0,0
Northern Mariana Islands,2009,8,59,12,9,6,10,4,0,48,57,12,68,0,3,2,0,0,0,0
Northern Mariana Islands,2010,8,62,12,9,6,10,4,0,50,60,13,69,0,3,2,0,0,0,0
Northern Mariana Islands,2011,9,65,13,9,6,10,4,0,52,62,13,70,0,3,2,0,0,0,0
Northern Mariana Islands,2012,10,66,13,9,6,11,4,0,53,64,15,71,0,3,2,0,0,0,0
Northern Mariana Islands,2013,11,68,13,9,6,11,4,0,54,66,16,72,0,3,2,0,0,0,0
Northern Mariana Islands,2014,12,70,14,8,6,11,5,0,54,68,18,73,0,3,2,0,0,0,0
Northern Mariana Islands,2015,13,73,14,8,6,11,5,0,56,72,19,75,0,3,2,0,0,0,0
Northern Mariana Islands,2016,12,76,15,9,7,12,5,0,57,75,18,78,0,3,2,0,0,0,0
Northern Mariana Islands,2017,11,78,15,9,7,12,5,0,58,77,16,80,0,3,2,0,0,0,0
Northern Mariana Islands,2018,11,79,15,9,6,12,5,0,59,79,16,81,0,3,2,0,0,0,0
Northern Mariana Islands,2019,11,81,15,9,6,12,5,0,60,81,17,82,0,3,2,0,0,0,0
Norway,1990,1705,12875,2892,696,854,919,194,925,8153,5113,1712,3335,32,184,587,0,0,0,1
Norway,1991,1625,12628,2828,685,836,893,197,895,8020,5103,1631,3271,31,202,574,0,0,0,1
Norway,1992,1571,12556,2806,688,831,883,207,877,8017,5162,1577,3257,31,221,577,0,0,0,1
Norway,1993,1534,12470,2779,698,824,871,213,858,8015,5212,1538,3240,32,239,593,0,0,0,1
Norway,1994,1466,12164,2709,707,804,840,206,824,7885,5163,1470,3186,31,260,591,0,0,0,0
Norway,1995,1422,11865,2646,716,785,815,205,795,7803,5128,1425,3131,30,281,585,0,0,0,0
Norway,1996,1378,11580,2578,723,764,779,202,763,7658,5103,1379,3074,28,308,598,0,0,0,0
Norway,1997,1344,11294,2526,752,740,752,178,735,7565,5108,1344,3042,27,330,605,0,0,0,0
Norway,1998,1325,11092,2494,797,720,732,179,713,7566,5123,1325,3038,26,367,618,0,0,0,0
Norway,1999,1287,10771,2434,845,690,706,162,684,7486,5093,1288,3002,26,389,631,0,0,0,0
Norway,2000,1245,10356,2356,895,658,677,160,650,7368,5013,1245,2949,26,423,625,0,0,0,0
Norway,2001,1178,9992,2284,949,629,649,156,622,7260,4970,1177,2907,26,440,629,0,0,0,0
Norway,2002,1093,9669,2223,1015,604,625,156,597,7197,4955,1091,2878,26,437,627,0,0,0,0
Norway,2003,974,9110,2105,1067,566,584,159,557,6956,4821,973,2789,25,429,618,0,0,0,0
Norway,2004,864,8617,1996,1110,532,549,160,522,6769,4685,863,2717,24,437,610,0,0,0,0
Norway,2005,808,8254,1913,1135,508,528,158,495,6645,4595,807,2676,24,429,613,0,0,0,0
Norway,2006,779,8080,1871,1159,494,512,153,482,6571,4551,778,2675,24,425,628,0,0,0,0
Norway,2007,778,7963,1844,1186,484,501,149,474,6547,4529,777,2691,25,420,650,0,0,0,0
Norway,2008,755,7741,1794,1215,469,486,152,460,6442,4429,754,2675,25,417,662,0,0,0,0
Norway,2009,742,7506,1740,1234,453,470,156,444,6289,4314,741,2656,25,416,674,0,0,0,0
Norway,2010,723,7321,1695,1247,441,458,150,431,6154,4225,721,2645,25,409,686,0,0,0,0
Norway,2011,714,7333,1696,1279,441,461,154,428,6144,4234,712,2695,25,409,707,0,0,0,0
Norway,2012,682,7181,1654,1271,430,453,155,413,5953,4153,680,2689,26,404,722,0,0,0,0
Norway,2013,631,7032,1618,1277,420,448,149,400,5789,4083,629,2693,25,403,729,0,0,0,0
Norway,2014,567,6783,1557,1255,405,434,153,381,5516,3968,565,2648,25,400,719,0,0,0,0
Norway,2015,514,6654,1528,1245,396,429,148,370,5341,3925,513,2638,25,393,723,0,0,0,0
Norway,2016,470,6620,1520,1245,394,430,153,363,5224,3974,470,2668,25,390,736,0,0,0,0
Norway,2017,427,6503,1489,1221,386,423,152,351,4993,4020,427,2655,25,380,736,0,0,0,0
Norway,2018,448,6685,1534,1235,396,428,152,358,4912,4350,448,2733,25,382,737,0,0,0,0
Norway,2019,454,6766,1555,1263,400,431,151,357,4818,4753,454,2781,26,385,736,0,0,0,0
OECD Countries,1990,534277,2177376,417407,501045,163449,194484,71551,114088,1917792,1020396,585053,859884,13445,60057,64485,1171,7556,1238,11489
OECD Countries,1991,530770,2168886,416962,501862,162552,192289,78002,112785,1917620,1017338,578405,871942,12673,63665,65077,1028,6719,1088,10385
OECD Countries,1992,523355,2149680,413686,501095,160791,189415,83759,110577,1909305,1011494,567619,879649,12061,67194,65145,907,6020,938,9369
OECD Countries,1993,522807,2154646,415338,503948,160834,188561,89600,109445,1918489,1019762,563775,896867,11556,71234,66079,798,5429,821,8518
OECD Countries,1994,518665,2138827,412955,505393,159272,186155,95155,107023,1909415,1021665,556673,907205,10952,74988,66633,689,4949,717,7787
OECD Countries,1995,518125,2140141,413216,508087,159001,185137,97487,105625,1913756,1035120,553775,922567,10562,78125,67468,609,4519,634,7131
OECD Countries,1996,508309,2113768,408048,505494,156230,181147,85885,102484,1891245,1040350,541255,927249,10043,77931,68008,530,4072,559,6465
OECD Countries,1997,501032,2088924,403675,505085,153760,177710,67202,99827,1872007,1048883,531415,935185,9612,77043,68338,443,3613,497,5822
OECD Countries,1998,496386,2078420,402135,509864,152298,174992,61742,97798,1867143,1066056,524118,948429,9190,79083,69358,371,3161,444,5178
OECD Countries,1999,490722,2066997,400461,512492,151225,172301,62899,95897,1862527,1085375,516184,962720,8789,82640,70830,303,2746,399,4603
OECD Countries,2000,475521,2024083,392357,509494,147976,166651,61425,92342,1830392,1087131,498973,962637,8271,85348,71840,245,2375,360,4073
OECD Countries,2001,465464,1996802,388696,510313,146056,162659,60819,90246,1812662,1100892,487763,970389,7890,88311,73293,192,2028,322,3578
OECD Countries,2002,461268,1979019,387996,515104,145130,160093,60866,88890,1808763,1129693,482378,984348,7719,92000,74945,168,1772,289,3168
OECD Countries,2003,453467,1950765,384865,521083,143922,157238,61102,87424,1801555,1155835,473744,995698,7535,95720,76581,147,1520,248,2733
OECD Countries,2004,438086,1887200,373998,518140,140407,151944,60061,84417,1769228,1155621,457374,989418,7283,98133,76665,111,1279,218,2401
OECD Countries,2005,432225,1868853,371349,523910,139670,150105,59485,83504,1764299,1174631,451203,1000727,7256,101905,78499,96,1114,194,2154
OECD Countries,2006,426351,1840298,366516,524134,137857,147212,58830,82001,1746870,1184059,444529,1003746,7162,104798,79756,76,966,168,1927
OECD Countries,2007,422670,1822836,364164,527461,136839,145432,58378,81102,1741126,1208166,440360,1012470,7161,107523,81633,66,861,154,1768
OECD Countries,2008,420032,1812111,363089,531785,136332,144323,57567,80393,1740917,1241672,437502,1026517,7229,110440,83931,58,771,140,1617
OECD Countries,2009,418343,1800965,361509,534468,135456,143432,56672,79577,1738383,1267445,435751,1038998,7274,113242,85426,52,707,128,1496
OECD Countries,2010,413884,1795120,359041,534489,134475,141957,54978,78929,1729120,1279222,430689,1046280,7328,115624,87516,47,649,118,1382
OECD Countries,2011,412242,1806507,360192,537880,134618,141774,54451,79063,1731322,1293253,428536,1060956,7426,119572,89932,44,603,110,1282
OECD Countries,2012,409532,1823026,361869,540137,134943,141582,53979,79461,1733238,1310687,425282,1079440,7555,123391,92739,40,555,104,1192
OECD Countries,2013,405236,1839479,363339,544032,135238,141612,53841,79681,1733571,1329434,420656,1101169,7712,128327,95320,36,517,99,1118
OECD Countries,2014,397597,1848571,363583,545953,134923,141249,53361,79293,1727761,1342820,412520,1118864,7786,134351,97239,32,480,93,1041
OECD Countries,2015,395938,1890548,370905,556792,136888,143008,53652,80633,1743545,1376498,410782,1150432,7972,142627,100563,29,445,89,971
OECD Countries,2016,385720,1910325,373719,563036,137540,143697,53902,80496,1744717,1398769,400052,1171967,8088,151861,102360,26,412,83,901
OECD Countries,2017,381687,1937848,379966,570333,139128,145542,54004,81420,1754626,1432392,395671,1195357,8170,157944,103086,23,378,77,832
OECD Countries,2018,390377,1990442,390549,580523,142417,149139,54147,83323,1782486,1484110,403544,1228376,8339,162225,105557,22,357,74,803
OECD Countries,2019,398616,2042673,399869,591738,145013,152850,54270,84659,1807122,1540165,411083,1260942,8503,166798,108047,20,334,70,767
Oman,1990,694,1494,523,27,79,217,17,308,771,885,1341,757,85,14,103,13,60,2,28
Oman,1991,749,1531,539,27,77,218,18,312,791,931,1323,818,77,14,107,10,50,1,24
Oman,1992,804,1570,553,29,75,218,19,315,806,981,1303,881,69,15,111,8,42,1,19
Oman,1993,856,1601,562,30,72,219,19,316,813,1031,1285,939,64,16,114,6,35,1,16
Oman,1994,913,1641,574,32,69,220,20,319,821,1091,1282,1001,60,17,116,4,29,1,14
Oman,1995,972,1685,586,34,67,223,22,325,832,1155,1291,1066,57,18,119,1,16,1,12
Oman,1996,1041,1740,604,37,65,225,23,335,853,1233,1314,1140,53,20,126,1,12,0,10
Oman,1997,1109,1786,616,42,64,226,25,343,862,1321,1331,1207,50,22,131,0,10,0,9
Oman,1998,1165,1820,619,46,61,225,27,345,855,1409,1337,1261,48,24,131,0,8,0,7
Oman,1999,1204,1845,617,49,58,224,29,345,840,1488,1335,1304,45,25,130,0,7,0,6
Oman,2000,1234,1883,619,53,56,225,32,345,835,1554,1338,1359,42,27,131,0,6,0,6
Oman,2001,1246,1930,621,59,55,226,31,345,837,1575,1334,1421,39,28,136,0,6,0,5
Oman,2002,1275,2031,633,66,55,231,29,348,836,1629,1348,1500,36,29,143,0,5,0,4
Oman,2003,1274,2098,627,70,54,232,31,341,809,1658,1332,1539,33,30,137,0,4,0,4
Oman,2004,1238,2108,603,70,51,227,33,324,762,1640,1281,1537,30,30,133,0,4,0,3
Oman,2005,1264,2229,616,70,52,233,37,325,756,1712,1300,1612,28,33,132,0,3,0,3
Oman,2006,1339,2427,655,74,54,249,42,339,789,1827,1371,1752,28,37,139,0,3,0,3
Oman,2007,1384,2572,668,82,56,260,50,335,803,1878,1409,1853,28,43,147,0,3,0,3
Oman,2008,1397,2662,655,84,56,265,58,317,792,1919,1416,1922,28,48,146,0,4,0,3
Oman,2009,1377,2694,622,83,55,264,65,292,759,1932,1392,1945,28,51,141,0,4,0,4
Oman,2010,1419,2814,646,81,56,274,73,300,769,2029,1433,2038,27,55,142,0,4,0,4
Oman,2011,1491,2947,679,86,59,289,83,313,810,2133,1505,2184,27,63,149,0,4,0,4
Oman,2012,1544,3012,699,87,62,297,91,321,832,2208,1555,2283,27,69,155,0,4,0,4
Oman,2013,1568,3041,706,80,64,299,95,324,829,2294,1576,2278,28,70,155,0,5,0,5
Oman,2014,1575,3046,703,71,66,299,95,323,809,2346,1581,2278,28,68,150,0,5,0,5
Oman,2015,1630,3138,726,68,69,309,98,334,827,2455,1633,2363,28,68,148,0,5,0,5
Oman,2016,1669,3203,744,68,73,318,101,344,852,2532,1671,2441,28,71,151,0,5,0,5
Oman,2017,1672,3210,752,67,76,321,104,350,865,2531,1673,2493,27,74,150,0,5,0,4
Oman,2018,1592,3047,719,66,76,308,102,336,824,2396,1593,2426,24,73,142,0,4,0,4
Oman,2019,1576,2996,713,67,78,305,100,336,812,2367,1576,2417,23,72,139,0,3,0,4
Pakistan,1990,33643,97714,21319,8089,12673,21952,1624,8816,97483,43843,197444,19593,38263,3840,1904,12024,43183,1781,16093
Pakistan,1991,34418,101908,22479,8523,13197,22652,1708,9166,100185,46075,201643,20630,37999,3977,1946,11227,42547,1737,15913
Pakistan,1992,35158,106666,23762,8993,13810,23394,1812,9567,103210,48668,205515,21970,38192,4116,1999,10538,42060,1715,15555
Pakistan,1993,36027,111353,25059,9487,14443,24140,1905,9972,106762,51410,208890,23451,38815,4247,2045,10156,42330,1721,15243
Pakistan,1994,37344,116412,26528,9962,15163,25015,2003,10439,110482,54377,213202,25192,39012,4401,2092,9619,42867,1732,14890
Pakistan,1995,39141,122118,28276,10416,16024,25905,2105,11021,114631,57706,218528,27224,38295,4596,2170,8725,42888,1738,14404
Pakistan,1996,40914,125504,29525,10690,16627,26291,2161,11396,117140,60211,220246,28989,37286,4739,2221,7837,42408,1724,13767
Pakistan,1997,44279,128310,30716,10952,17218,26678,2243,11738,119818,62738,222219,31069,36549,4855,2274,7186,42150,1711,13240
Pakistan,1998,48067,129439,31479,11087,17611,26761,2303,11908,120879,64617,221767,32960,35563,4932,2305,6517,41170,1679,12847
Pakistan,1999,52606,131122,32425,11256,18101,27002,2377,12158,122429,66846,223655,35214,34559,5040,2348,5822,39467,1655,12841
Pakistan,2000,56126,133885,33667,11467,18718,27304,2471,12525,124319,69567,226602,37852,33077,5185,2383,4870,36853,1619,12875
Pakistan,2001,58495,136960,34969,11701,19351,27550,2529,12934,125882,72984,228573,40892,31605,5327,2413,4125,34717,1578,12674
Pakistan,2002,60483,139735,36086,11995,19938,27752,2584,13270,127458,76671,230045,44373,30673,5467,2454,3715,33492,1549,12401
Pakistan,2003,62950,142549,37114,12305,20519,27848,2634,13575,128844,80746,230768,48146,29821,5588,2478,3367,32053,1517,12217
Pakistan,2004,65070,145308,38100,12622,21042,27855,2671,13827,130050,84757,230922,51716,28820,5726,2517,3018,30413,1488,12198
Pakistan,2005,67389,148455,39123,13365,21569,27766,2707,14102,131177,88859,230317,55082,27556,5861,2559,2676,28632,1439,12088
Pakistan,2006,70322,151923,40020,13219,22014,27731,2762,14295,131606,92359,231097,58182,27046,5986,2558,2412,27274,1389,12120
Pakistan,2007,73831,155655,40749,13556,22367,27473,2816,14405,131474,95806,229661,61090,26495,6116,2587,2188,25804,1292,12386
Pakistan,2008,78516,160816,41765,13955,22889,27879,2888,14606,131924,99969,232534,64410,27763,6286,2621,1314,21661,1329,13155
Pakistan,2009,82578,165949,42736,14328,23384,28041,2961,14810,132146,104091,233545,67629,28281,6443,2663,833,18924,1309,13657
Pakistan,2010,86535,171257,43859,14691,23936,28179,3063,15061,132613,108575,234580,70669,28199,6625,2726,748,18098,1308,14046
Pakistan,2011,91513,176544,44862,15088,24428,28278,3175,15303,133010,112676,235058,73353,28575,6790,2755,672,17191,1406,14100
Pakistan,2012,97740,182705,45934,15519,24996,28504,3321,15566,133599,117559,236473,76526,28765,6987,2828,645,16805,1479,13627
Pakistan,2013,104848,189640,47526,15957,25763,28937,3490,15998,134198,122994,239328,79904,28199,7246,2872,664,16789,1412,13101
Pakistan,2014,110262,196049,48694,16394,26439,29322,3662,16320,134791,127921,241205,83309,28122,7488,2938,599,16093,1293,12982
Pakistan,2015,113647,201682,49937,16776,27042,29689,3830,16624,135069,132135,241635,86572,27606,7690,2993,495,14969,1173,12533
Pakistan,2016,115471,206829,51131,17150,27634,30161,4005,16900,135184,134871,240823,90186,26945,7974,3080,423,14119,1064,11810
Pakistan,2017,116805,211773,52345,17527,28149,30449,4180,17183,135156,136998,238759,93810,26183,8282,3143,399,13376,991,11015
Pakistan,2018,118845,216301,53574,17815,28681,30562,4342,17455,134789,140845,235474,97337,24267,8469,3216,376,12078,861,9627
Pakistan,2019,124913,220698,54778,18214,29182,30919,4505,17707,134289,145454,235657,101135,23033,8583,3302,339,11209,777,8756
Palau,1990,3,18,5,2,3,6,2,0,18,20,3,19,1,1,1,0,0,0,0
Palau,1991,2,19,5,2,3,7,2,0,18,21,3,20,1,1,1,0,0,0,0
Palau,1992,2,20,5,2,3,7,2,0,19,22,3,21,1,1,1,0,0,0,0
Palau,1993,2,21,5,2,3,7,2,0,19,23,3,22,1,1,1,0,0,0,0
Palau,1994,3,22,6,2,3,7,2,0,20,25,3,23,1,1,1,0,0,0,0
Palau,1995,3,23,6,2,3,8,2,0,20,26,3,24,1,1,1,0,0,0,0
Palau,1996,3,24,6,2,3,8,2,0,21,27,3,26,1,1,1,0,0,0,0
Palau,1997,3,26,6,3,3,8,3,0,21,29,3,27,1,1,1,0,0,0,0
Palau,1998,3,27,7,3,3,8,3,0,22,30,3,28,1,1,1,0,0,0,0
Palau,1999,3,28,7,3,4,8,3,0,23,32,3,30,1,1,1,0,0,0,0
Palau,2000,3,29,7,3,4,9,3,0,23,33,3,32,1,1,1,0,0,0,0
Palau,2001,3,30,7,3,4,9,3,0,24,35,3,33,1,1,1,0,0,0,0
Palau,2002,3,31,7,3,4,9,3,0,24,36,3,34,1,1,1,0,0,0,0
Palau,2003,3,31,8,3,4,9,3,0,24,37,3,35,1,1,1,0,0,0,0
Palau,2004,4,32,8,3,4,9,3,0,25,39,4,36,1,1,1,0,0,0,0
Palau,2005,4,33,8,3,4,9,3,0,25,40,4,37,1,1,1,0,0,0,0
Palau,2006,4,33,8,3,4,9,3,0,25,41,4,38,1,1,1,0,0,0,0
Palau,2007,3,33,8,3,4,9,3,0,25,41,3,37,0,1,1,0,0,0,0
Palau,2008,3,34,8,3,4,9,3,0,25,41,3,37,0,1,1,0,0,0,0
Palau,2009,3,34,8,3,4,10,3,0,25,42,3,37,0,1,1,0,0,0,0
Palau,2010,3,35,8,3,4,10,3,0,26,43,3,38,0,1,1,0,0,0,0
Palau,2011,3,35,8,3,4,10,3,0,26,43,3,38,0,1,1,0,0,0,0
Palau,2012,4,36,8,3,4,10,4,0,26,44,4,39,0,1,1,0,0,0,0
Palau,2013,5,36,9,3,4,10,4,0,26,46,5,40,0,1,1,0,0,0,0
Palau,2014,6,38,9,3,4,10,4,0,27,47,6,41,0,1,1,0,0,0,0
Palau,2015,7,39,9,3,5,10,4,0,28,49,7,42,0,1,1,0,0,0,0
Palau,2016,6,40,9,3,5,10,4,0,28,51,6,44,0,1,1,0,0,0,0
Palau,2017,4,41,9,3,5,11,4,0,29,52,4,45,0,1,1,0,0,0,0
Palau,2018,4,42,10,3,5,11,5,0,29,54,4,47,0,1,1,0,0,0,0
Palau,2019,5,43,10,3,5,11,5,0,30,56,5,49,0,1,1,0,0,0,0
Palestine,1990,609,2110,637,78,207,363,19,217,1178,1516,1272,1039,79,11,31,68,81,2,33
Palestine,1991,685,2151,646,82,209,369,19,217,1196,1560,1288,1088,78,11,31,65,79,1,32
Palestine,1992,756,2185,652,86,210,374,19,216,1209,1600,1296,1130,76,11,31,60,75,1,31
Palestine,1993,824,2223,661,91,212,380,20,215,1227,1644,1309,1173,74,12,31,53,70,1,30
Palestine,1994,882,2257,669,96,214,385,20,213,1244,1686,1317,1212,71,12,30,46,65,1,29
Palestine,1995,935,2296,680,101,216,392,20,212,1266,1732,1329,1250,69,13,30,39,61,1,28
Palestine,1996,986,2344,693,107,219,400,20,211,1293,1784,1340,1291,67,14,30,33,56,1,27
Palestine,1997,1034,2384,704,115,220,406,20,208,1316,1831,1342,1325,65,14,30,27,51,1,26
